url,page_type,source_evidence,indexability,included_in_sitemap
/,service,index.html,index,yes
/products/additive-x-stream-synthentic-urine.html,product,product-page/additive-x-stream-synthentic-urine.html,index,yes
/products/ascent-oil-jars.html,product,product-page/ascent-oil-jars.html,index,yes
/products/ascentst-g-adapter.html,product,product-page/ascentst-g-adapter.html,index,yes
/products/ascentst-u-adapter.html,product,product-page/ascentst-u-adapter.html,index,yes
/products/assisted-dug-cut.html,product,product-page/assisted-dug-cut.html,index,yes
/products/asvape-michael-box.html,product,product-page/asvape-michael-box.html,index,yes
/products/atmos-grinder.html,product,product-page/atmos-grinder.html,index,yes
/products/atmosnail.html,product,product-page/atmosnail.html,index,yes
/products/badwood-g-pen.html,product,product-page/badwood-g-pen.html,index,yes
/products/bb-st-0g-5-8.html,product,product-page/bb-st-0g-5-8.html,index,yes
/products/bb-st-10g-1-2.html,product,product-page/bb-st-10g-1-2.html,index,yes
/products/bb-st-10g-3-4.html,product,product-page/bb-st-10g-3-4.html,index,yes
/products/bb-st-12g-1-2.html,product,product-page/bb-st-12g-1-2.html,index,yes
/products/bb-st-12g-5-8.html,product,product-page/bb-st-12g-5-8.html,index,yes
/products/bb-st-12g-7-16.html,product,product-page/bb-st-12g-7-16.html,index,yes
/products/bb-st-12g-7-8.html,product,product-page/bb-st-12g-7-8.html,index,yes
/products/bb-st-14g-7-8.html,product,product-page/bb-st-14g-7-8.html,index,yes
/products/bb-st-2g-5-8.html,product,product-page/bb-st-2g-5-8.html,index,yes
/products/bb-st-6g-5-8.html,product,product-page/bb-st-6g-5-8.html,index,yes
/products/bubbler.html,product,product-page/bubbler.html,index,yes
/products/cbb-st-10g-1-2-cone.html,product,product-page/cbb-st-10g-1-2-cone.html,index,yes
/products/cbb-st-10g-1-2-reg-ball.html,product,product-page/cbb-st-10g-1-2-reg-ball.html,index,yes
/products/cbb-st-12g-3-8-cone.html,product,product-page/cbb-st-12g-3-8-cone.html,index,yes
/products/cbb-st-12g-7-16-gem-reg-clear.html,product,product-page/cbb-st-12g-7-16-gem-reg-clear.html,index,yes
/products/cbr-st-10g-1-2-gem-ball-clear.html,product,product-page/cbr-st-10g-1-2-gem-ball-clear.html,index,yes
/products/cbr-st-12g-1-2-1.html,product,product-page/cbr-st-12g-1-2-1.html,index,yes
/products/cbr-st-12g-1-2-gem-ball-clear.html,product,product-page/cbr-st-12g-1-2-gem-ball-clear.html,index,yes
/products/cbr-st-12g-1-2.html,product,product-page/cbr-st-12g-1-2.html,index,yes
/products/cbr-st-12g-3-8.html,product,product-page/cbr-st-12g-3-8.html,index,yes
/products/cbr-st-12g-5-8-1.html,product,product-page/cbr-st-12g-5-8-1.html,index,yes
/products/cbr-st-12g-5-8.html,product,product-page/cbr-st-12g-5-8.html,index,yes
/products/cbr-st-12g-7-16-1.html,product,product-page/cbr-st-12g-7-16-1.html,index,yes
/products/cbr-st-12g-7-16.html,product,product-page/cbr-st-12g-7-16.html,index,yes
/products/cbr-st-8g-1-2-gem-ball-clear.html,product,product-page/cbr-st-8g-1-2-gem-ball-clear.html,index,yes
/products/clear-hit-1.html,product,product-page/clear-hit-1.html,index,yes
/products/clear-hit.html,product,product-page/clear-hit.html,index,yes
/products/copy-of-atmos-nail.html,product,product-page/copy-of-atmos-nail.html,index,yes
/products/copy-of-cbr-st-12g3-8.html,product,product-page/copy-of-cbr-st-12g3-8.html,index,yes
/products/copy-of-glass-pipe.html,product,product-page/copy-of-glass-pipe.html,index,yes
/products/detoxify-ever-clean.html,product,product-page/detoxify-ever-clean.html,index,yes
/products/detoxify-green-clean.html,product,product-page/detoxify-green-clean.html,index,yes
/products/detoxify-instant-clean.html,product,product-page/detoxify-instant-clean.html,index,yes
/products/detoxify-mega-clean.html,product,product-page/detoxify-mega-clean.html,index,yes
/products/detoxify-mighty-clean.html,product,product-page/detoxify-mighty-clean.html,index,yes
/products/detoxify-pre-cleanse-caps.html,product,product-page/detoxify-pre-cleanse-caps.html,index,yes
