source_route,source_type,source_status,content_area,canonical_target,destination_status,exception
artist.html,static_page,available,Artists,artists/index.html,rebuilt section page,
blog/categories/getting-started.html,blog_category,available,Blog / Guides,blog/index.html,redirect to rebuilt destination,
blog/categories/your-community.html,blog_category,available,Blog / Guides,blog/index.html,redirect to rebuilt destination,
blog/davinci-miqro.html,blog_redirect,available,Blog / Guides,blog/davinci-miqro.html,redirect to rebuilt destination,
blog/kandypens-k-stick.html,blog_redirect,available,Blog / Guides,blog/kandypens-k-stick.html,redirect to rebuilt destination,
blog/levo-oil-butter-maker.html,blog_redirect,available,Blog / Guides,blog/levo-oil-butter-maker.html,redirect to rebuilt destination,
blog/now-in-store-dr-dabber-switch.html,blog_redirect,available,Blog / Guides,blog/now-in-store-dr-dabber-switch.html,redirect to rebuilt destination,
blog.html,blog_index,available,Blog / Guides,blog/index.html,rebuilt section page,
bodypiercing.html,static_page,available,Piercing,piercing/index.html,rebuilt section page,
charlie.html,static_page,available,Artists,artists/charlie.html,rebuilt detail page,
contact.html,static_page,available,Location / Contact,services/contact.html,rebuilt detail page,
faq.html,static_page,available,FAQ,faq/index.html,rebuilt section page,
gallery.html,static_page,available,Tattoo Services,tattoo/index.html,rebuilt section page,
home.html,static_page,available,Home,index.html,rebuilt primary page,
index.html,static_page,available,Home,index.html,rebuilt primary page,
locations.html,static_page,available,Location / Contact,services/locations.html,rebuilt detail page,
post/are-detox-cleanses-permanent.html,blog_post,available,Blog / Guides,blog/are-detox-cleanses-permanent.html,rebuilt detail page,
post/can-my-tattoo-be-covered-up.html,blog_post,available,Blog / Guides,blog/can-my-tattoo-be-covered-up.html,rebuilt detail page,
post/cbdforpets.html,blog_post,available,Blog / Guides,blog/cbdforpets.html,rebuilt detail page,
post/cbdforpets1.html,blog_post,available,Blog / Guides,blog/cbdforpets1.html,rebuilt detail page,
post/cbdforpets2.html,blog_post,available,Blog / Guides,blog/cbdforpets2.html,rebuilt detail page,
post/davinci-miqro.html,blog_post,available,Blog / Guides,blog/davinci-miqro.html,rebuilt detail page,
post/firsttattoo.html,blog_post,available,Blog / Guides,blog/firsttattoo.html,rebuilt detail page,
post/honeystick-beekeeper-conceal-essential-oil-vaporizer.html,blog_post,available,Blog / Guides,blog/honeystick-beekeeper-conceal-essential-oil-vaporizer.html,rebuilt detail page,
post/kandypens-k-stick.html,blog_post,available,Blog / Guides,blog/kandypens-k-stick.html,rebuilt detail page,
post/levo-oil-butter-maker.html,blog_post,available,Blog / Guides,blog/levo-oil-butter-maker.html,rebuilt detail page,
post/now-in-store-dr-dabber-switch.html,blog_post,available,Blog / Guides,blog/now-in-store-dr-dabber-switch.html,rebuilt detail page,
post/tattooaftercare.html,blog_post,available,Blog / Guides,blog/tattooaftercare.html,rebuilt detail page,
post/tips-for-a-successful-cover-up-tattoo.html,blog_post,available,Blog / Guides,blog/tips-for-a-successful-cover-up-tattoo.html,rebuilt detail page,
post/what-is-detox.html,blog_post,available,Blog / Guides,blog/what-is-detox.html,rebuilt detail page,
post/what-to-do-if-your-tattoo-or-piercing-itches.html,blog_post,available,Blog / Guides,blog/what-to-do-if-your-tattoo-or-piercing-itches.html,rebuilt detail page,
price-list-1.html,static_page,available,Piercing,piercing/index.html,rebuilt section page,
product-page/additive-x-stream-synthentic-urine.html,product,available,Shop / Product Catalog,products/additive-x-stream-synthentic-urine.html,rebuilt detail page,
product-page/ascent-oil-jars.html,product,available,Shop / Product Catalog,products/ascent-oil-jars.html,rebuilt detail page,
product-page/ascentst-g-adapter.html,product,available,Shop / Product Catalog,products/ascentst-g-adapter.html,rebuilt detail page,
product-page/ascentst-u-adapter.html,product,available,Shop / Product Catalog,products/ascentst-u-adapter.html,rebuilt detail page,
product-page/assisted-dug-cut.html,product,available,Shop / Product Catalog,products/assisted-dug-cut.html,rebuilt detail page,
product-page/asvape-michael-box.html,product,available,Shop / Product Catalog,products/asvape-michael-box.html,rebuilt detail page,
product-page/atmos-grinder.html,product,available,Shop / Product Catalog,products/atmos-grinder.html,rebuilt detail page,
product-page/atmosnail.html,product,available,Shop / Product Catalog,products/atmosnail.html,rebuilt detail page,
product-page/badwood-g-pen.html,product,available,Shop / Product Catalog,products/badwood-g-pen.html,rebuilt detail page,
product-page/bb-st-0g-5-8.html,product,available,Shop / Product Catalog,products/bb-st-0g-5-8.html,rebuilt detail page,
product-page/bb-st-10g-1-2.html,product,available,Shop / Product Catalog,products/bb-st-10g-1-2.html,rebuilt detail page,
product-page/bb-st-10g-3-4.html,product,available,Shop / Product Catalog,products/bb-st-10g-3-4.html,rebuilt detail page,
product-page/bb-st-12g-1-2.html,product,available,Shop / Product Catalog,products/bb-st-12g-1-2.html,rebuilt detail page,
product-page/bb-st-12g-5-8.html,product,available,Shop / Product Catalog,products/bb-st-12g-5-8.html,rebuilt detail page,
product-page/bb-st-12g-7-16.html,product,available,Shop / Product Catalog,products/bb-st-12g-7-16.html,rebuilt detail page,
product-page/bb-st-12g-7-8.html,product,available,Shop / Product Catalog,products/bb-st-12g-7-8.html,rebuilt detail page,
product-page/bb-st-14g-7-8.html,product,available,Shop / Product Catalog,products/bb-st-14g-7-8.html,rebuilt detail page,
product-page/bb-st-2g-5-8.html,product,available,Shop / Product Catalog,products/bb-st-2g-5-8.html,rebuilt detail page,
product-page/bb-st-6g-5-8.html,product,available,Shop / Product Catalog,products/bb-st-6g-5-8.html,rebuilt detail page,
product-page/bubbler.html,product,available,Shop / Product Catalog,products/bubbler.html,rebuilt detail page,
product-page/cbb-st-10g-1-2-cone.html,product,available,Shop / Product Catalog,products/cbb-st-10g-1-2-cone.html,rebuilt detail page,
product-page/cbb-st-10g-1-2-reg-ball.html,product,available,Shop / Product Catalog,products/cbb-st-10g-1-2-reg-ball.html,rebuilt detail page,
